dataset,truth,n,shapley_f1,delta_f1,active_f1,mcr_exact,cost_mcr_exact
2wikimultihopqa,A,72,1.0,1.0,1.0,1.0,1.0
2wikimultihopqa,A+G,80,1.0,0.475,0.25416666666666665,0.9,0.9
2wikimultihopqa,E,46,1.0,1.0,1.0,1.0,1.0
2wikimultihopqa,E+A,72,1.0,1.0,0.8796296296296297,0.6388888888888888,0.6388888888888888
2wikimultihopqa,E+A+G,80,0.875,0.775,0.43,0.575,0.575
2wikimultihopqa,G,80,1.0,1.0,1.0,1.0,1.0
2wikimultihopqa,R,69,1.0,1.0,1.0,1.0,1.0
2wikimultihopqa,R+E,72,0.7986111111111112,0.625,0.6574074074074074,0.5972222222222222,0.5972222222222222
2wikimultihopqa,R+E+A,72,0.9861111111111112,0.875,0.7166666666666667,0.5972222222222222,0.5972222222222222
2wikimultihopqa,R+E+A+G,80,0.86875,0.86875,0.5149999999999999,0.5375,0.5375
2wikimultihopqa,S,59,1.0,1.0,1.0,1.0,1.0
2wikimultihopqa,S+R,71,0.8661971830985915,0.6549295774647887,0.9107981220657277,0.7323943661971831,0.7323943661971831
2wikimultihopqa,S+R+E,71,0.8497652582159625,0.5352112676056338,0.667605633802817,0.49295774647887325,0.49295774647887325
hotpotqa,A,78,1.0,1.0,1.0,1.0,1.0
hotpotqa,A+G,80,1.0,0.3625,0.18541666666666667,0.975,0.975
hotpotqa,E,54,1.0,1.0,1.0,1.0,1.0
hotpotqa,E+A,78,1.0,1.0,0.8974358974358975,0.6923076923076923,0.6923076923076923
hotpotqa,E+A+G,80,0.8458333333333334,0.7291666666666666,0.4175,0.675,0.675
hotpotqa,G,80,1.0,1.0,1.0,1.0,1.0
hotpotqa,R,78,1.0,1.0,1.0,1.0,1.0
hotpotqa,R+E,78,0.8461538461538461,0.5833333333333334,0.5384615384615384,0.6923076923076923,0.6923076923076923
hotpotqa,R+E+A,78,1.0,0.8247863247863247,0.6564102564102564,0.6923076923076923,0.6923076923076923
hotpotqa,R+E+A+G,80,0.840625,0.840625,0.485,0.675,0.675
hotpotqa,S,70,1.0,1.0,1.0,1.0,1.0
hotpotqa,S+R,78,0.9487179487179487,0.8910256410256411,0.9658119658119657,0.8974358974358975,0.8974358974358975
hotpotqa,S+R+E,78,0.8931623931623932,0.6025641025641025,0.626923076923077,0.6410256410256411,0.6410256410256411
