budget,comparison,mean_a,mean_b,mean_diff,W,p
4,BACD vs random probes,0.8121613979650423,0.842379916339666,-0.03021851837462389,109494767.0,3.512500685148877e-41
4,BACD vs exhaustive Shapley,0.8121613979650423,0.9400704076390779,-0.1279090096740355,79650343.0,0.0
6,BACD vs random probes,0.9135386853499445,0.8993937000056119,0.014144985344332636,114018601.5,2.0968116645302635e-18
6,BACD vs exhaustive Shapley,0.9135386853499445,0.9400704076390779,-0.02653172228913322,112708469.0,6.302328779199692e-23
8,BACD vs random probes,0.9314185995311913,0.9199770344181549,0.01144156511303642,113531627.5,2.574978593349279e-21
8,BACD vs exhaustive Shapley,0.9314185995311913,0.9400704076390779,-0.008651808107886431,121081820.0,0.5027269748187366
10,BACD vs random probes,0.9369182520256767,0.927997289025301,0.008920963000375563,114052511.5,2.504896720336171e-19
10,BACD vs exhaustive Shapley,0.9369182520256767,0.9400704076390779,-0.0031521556134011947,116257538.0,1.6643398136661778e-09
12,BACD vs random probes,0.9369182520256767,0.9317332970718883,0.0051849549537882405,117165289.0,8.606255828200038e-08
12,BACD vs exhaustive Shapley,0.9369182520256767,0.9400704076390779,-0.0031521556134011947,116257538.0,1.6643398136661778e-09
