dataset,retriever,severity,n,ndcg10,recall10,mrr10,shapley_exact,shapley_f1,delta_exact,delta_f1,random_exact,random_f1,mcr_exact,residual,pair_interaction,triple_interaction
arguana,bm25,0.2,6455,0.44007800850650725,0.9367931835786212,0.28409858237123925,0.8261812548412084,0.9130906274206042,0.7981409759876065,0.8990704879938033,0.44972889233152596,0.6048799380325329,0.6619674670797832,0.0,0.08858956382064938,0.00735275456813857
arguana,bm25,0.35,6886,0.4228462460459694,0.9006680220737728,0.2728348639291131,0.8235550392099913,0.9117775196049956,0.7834737147836189,0.8917368573918095,0.43871623584083647,0.5926517571884984,0.7220447284345048,0.0,0.12838589210362264,0.016347418458438245
arguana,bm25,0.5,7170,0.4143184242643804,0.8828451882845189,0.2672270926036616,0.8336122733612273,0.9168061366806136,0.7775453277545328,0.8887726638772664,0.4419804741980474,0.5937935843793585,0.7712691771269177,2.148885775870337e-06,0.16341474787154234,0.025880498425996205
arguana,dense,0.2,7705,0.4640519151217903,0.9595068137573004,0.30744290967522636,0.8353017521090201,0.91765087605451,0.8064892926670992,0.9032446463335496,0.44321868916288126,0.6015574302401038,0.6655418559377028,0.0,0.08793987316473162,0.007183276562605849
arguana,dense,0.35,8003,0.460176199600052,0.9515181806822441,0.3048772384958815,0.8445582906410096,0.9222791453205048,0.8009496438835436,0.9004748219417719,0.43508684243408724,0.5877795826565038,0.7558415594152192,0.0,0.13546600667202863,0.01733062436563531
arguana,dense,0.5,8268,0.45425740305814494,0.9390420899854862,0.3010086218812634,0.8571601354620223,0.9285800677310111,0.7965650701499758,0.8982825350749879,0.4386792452830189,0.5879898403483309,0.805878084179971,4.109759015028008e-06,0.16876167605527176,0.027829077821023816
arguana,hybrid,0.2,7541,0.46179596678152524,0.9607479114175839,0.3039273663759806,0.8363612253016841,0.918180612650842,0.806789550457499,0.9033947752287496,0.4462272908102374,0.6025726031030367,0.6700702824559077,0.0,0.0891340088558638,0.007308953786074728
arguana,hybrid,0.35,7844,0.4553697117297345,0.9474757776644569,0.29966423633876466,0.8412799592044875,0.9206399796022438,0.7997195308516063,0.8998597654258031,0.43612952575216724,0.5887939826619072,0.7470678225395206,0.0,0.13443624115863498,0.017421211204696904
arguana,hybrid,0.5,8133,0.44811818674425064,0.9331120127874093,0.29470738457274787,0.8538054838313046,0.9269027419156523,0.794048936431821,0.8970244682159105,0.4373539899176196,0.5879749170047953,0.8013033321037747,2.5978474550732648e-06,0.1699323847939744,0.02859855123697794
fiqa,bm25,0.2,4993,0.4236951143228195,0.5305813736967352,0.5377662060217638,0.822751852593631,0.9113759262968155,0.7913078309633487,0.8956539154816744,0.44802723813338674,0.6052473462847987,0.6364910875225316,6.8757917833713586e-06,0.05405132303229834,0.003836790290760745
fiqa,bm25,0.35,5512,0.39671075376350495,0.4973522697670013,0.5024763431013431,0.8182148040638607,0.9091074020319303,0.771044992743106,0.885522496371553,0.44920174165457183,0.6003265602322206,0.7008345428156749,9.016944828732155e-06,0.09525767184916357,0.011293950842837406
fiqa,bm25,0.5,5853,0.38206604715765446,0.47857837105658735,0.4836896829464743,0.8200922603792927,0.9100461301896463,0.755168289765932,0.877584144882966,0.4409704425081155,0.5936271997266359,0.7399624124380659,6.544934800656712e-06,0.12376086555925818,0.01814927162401909
fiqa,dense,0.2,6825,0.5288167211636335,0.641740343905179,0.6355832315832316,0.8514285714285714,0.9257142857142857,0.8137728937728937,0.9068864468864469,0.4430769230769231,0.5987545787545787,0.6879120879120879,7.593959173655275e-06,0.06460275162974063,0.005509244194664837
fiqa,dense,0.35,7283,0.5105832047302546,0.6211107065391014,0.6120894712409198,0.8599478236990251,0.9299739118495126,0.8039269531786352,0.9019634765893176,0.44404778250720855,0.594397912947961,0.7621859123987368,9.799591346374526e-06,0.10427610962512371,0.012861807526594934
fiqa,dense,0.5,7479,0.5084260911433237,0.6177167386252825,0.6107144979487539,0.874047332531087,0.9370236662655436,0.8014440433212996,0.9007220216606499,0.4382938895574275,0.5874448455675892,0.8288541248830057,1.3320232037946782e-05,0.1399558421541001,0.02158830083040013
fiqa,hybrid,0.2,6742,0.5240460016944211,0.6423263464015466,0.6321137809420218,0.8513794126371996,0.9256897063185998,0.8137051320083062,0.9068525660041531,0.4449718184514981,0.6006377929397805,0.679916938593889,6.442879966010667e-06,0.06328838656684872,0.005102664078778795
fiqa,hybrid,0.35,7217,0.5043502677577373,0.6181613107690425,0.6078291775811521,0.8589441596231121,0.929472079811556,0.80365802965221,0.901829014826105,0.44700013856172927,0.5972703339337675,0.7511431342663156,3.5313331282045435e-06,0.1027287793600357,0.012843299110415568
fiqa,hybrid,0.5,7442,0.5008551267725079,0.613414393990852,0.6042056986729117,0.8707336737436173,0.9353668368718087,0.7989787691480785,0.8994893845740393,0.4356355818328406,0.5858640150497179,0.8164471916151572,3.1264086916737843e-06,0.1382230069693626,0.02152875968992846
nfcorpus,bm25,0.2,7159,0.42900577934764433,0.20844330470300468,0.7061498790511223,0.841318619918983,0.9206593099594915,0.763933510266797,0.8819667551333985,0.4348372677748289,0.5928900684453136,0.7020533594077385,8.321902691782802e-05,0.03296252761048945,0.002861894149060431
nfcorpus,bm25,0.35,7606,0.4177774239472427,0.20362308887539066,0.6875731982687018,0.8589271627662372,0.9294635813831186,0.7544044175650803,0.8772022087825401,0.4367604522745201,0.5875624506968183,0.7959505653431501,4.871466016052936e-05,0.057539058978132045,0.00711356184417986
