model,metric,mean,ci95_low,ci95_high
Mistral-7B-Instruct-v0.3,f1_baseline,0.34341386391386386,0.2648766636141636,0.4270652639027639
Mistral-7B-Instruct-v0.3,f1_R,0.4435565681881471,0.36273078149920257,0.5222539005341637
Mistral-7B-Instruct-v0.3,f1_E,0.353060273060273,0.2757886863136863,0.43407872544122544
Mistral-7B-Instruct-v0.3,f1_RE,0.5451293151293151,0.45945256132756135,0.6273867465867464
Phi-4-mini-instruct,f1_baseline,0.10753680761826821,0.07950001443138298,0.1399681110573372
Phi-4-mini-instruct,f1_R,0.16334414060729652,0.12771583091512156,0.19990402707809846
Phi-4-mini-instruct,f1_E,0.12014671167683076,0.09026629423256544,0.15421366030367226
Phi-4-mini-instruct,f1_RE,0.14492550886465635,0.11557573301853599,0.17597929556070632
Qwen2.5-3B-Instruct,f1_baseline,0.19523809523809527,0.125,0.27858928571428565
Qwen2.5-3B-Instruct,f1_R,0.28590476190476194,0.202997619047619,0.37705833333333333
Qwen2.5-3B-Instruct,f1_E,0.30668253968253967,0.22576706349206346,0.3934900793650793
Qwen2.5-3B-Instruct,f1_RE,0.4096666666666667,0.31977777777777777,0.5028944444444444
